title,image_url,image_file,official_url_en,official_url_ko,official_url_zh,media_note
1-2-Switch,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000000141/ed7d64a9ec942a31e364c16d9501628216f835539ee05d1ff510b270d50b3d3b",data/media_images/1_2_switch.jpg,https://www.nintendo.com/us/store/products/1-2-switch-switch/,https://www.nintendo.com/kr/switch/aacca/,https://www.nintendo.com/hk/switch/1-2-switch/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Animal Crossing: New Horizons,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000027619/9989957eae3a6b545194c42fec2071675c34aadacd65e6b33fdfe7b3b6a86c3a",data/media_images/animal_crossing_new_horizons.jpg,https://www.nintendo.com/us/store/products/animal-crossing-new-horizons-switch/,https://www.nintendo.com/kr/software/switch/acbaa/,https://www.nintendo.com.hk/switch/animal_crossing_new_horizons/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Arcade Archives: Clu Clu Land,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000021584/a4fa103fc7a9c7fce46e41a82e07f0c872bee696688ca3ca9d19cd98cc9a2ff8",data/media_images/arcade_archives_clu_clu_land.jpg,https://www.nintendo.com/us/store/products/arcade-archives-clu-clu-land-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Donkey Kong,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000010531/2647211d970da0c69d567782503c4a471c0836a75168696accfe25fc6a3fee89",data/media_images/arcade_archives_donkey_kong.jpg,https://www.nintendo.com/us/store/products/arcade-archives-donkey-kong-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Excitebike,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000006251/84af509f46e2d70cfd8ac6ac6a120a5a24e6f92832df6eb92a4f95abbfb36af3",data/media_images/arcade_archives_excitebike.jpg,https://www.nintendo.com/us/store/products/arcade-archives-excitebike-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Mario Bros.,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000000917/fac89145e13b215caa74ec4fa275d1e97dc44d59e2a97dd1e911ad21148b09a8",data/media_images/arcade_archives_mario_bros.jpg,https://www.nintendo.com/us/store/products/arcade-archives-mario-bros-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Pinball,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000019823/ac23f3f0995c5c43ff1187bc03bcb01530f5d94ec7db7ee3198879d6812f762b",data/media_images/arcade_archives_pinball.jpg,https://www.nintendo.com/us/store/products/arcade-archives-pinball-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Punch-Out!,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000006242/75216bca294b345275194f105d3371c4d4a9a2ce888f3f33bb4cceb4ec353cdc",data/media_images/arcade_archives_punch_out.jpg,https://www.nintendo.com/us/store/products/arcade-archives-punch-out-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Urban Champion,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000013251/4f7036e2eb722c80d0bf41378488ba8c9fc38e0f2f02a66e778dec900f14c469",data/media_images/arcade_archives_urban_champion.jpg,https://www.nintendo.com/us/store/products/arcade-archives-urban-champion-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Vs. Balloon Fight,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000023310/c224d2cb4de876923cdcadc225ff1410e7a01f87f4d725d1cfd54b778107d7d7",data/media_images/arcade_archives_vs_balloon_fight.jpg,https://www.nintendo.com/us/store/products/arcade-archives-vs-balloon-fight-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Vs. Super Mario Bros.,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000003432/7f1c647eef54f9ea832d956f6579cc47a437f32673ef6b02551b5b065008ece3",data/media_images/arcade_archives_vs_super_mario_bros.jpg,https://www.nintendo.com/us/store/products/arcade-archives-vs-super-mario-bros-switch/,,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Arcade Archives: Vs. Wrecking Crew,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000028433/f9449e21c256f50f7434b2683550078569ab9a4a17a5cea2e6932bc26d260795",data/media_images/arcade_archives_vs_wrecking_crew.jpg,https://www.nintendo.com/us/store/products/arcade-archives-vs-wrecking-crew-switch/,,https://ec.nintendo.com/HK/zh/titles/70010000028432,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
ARMS,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000000392/f904982d4ad208926f0ae354b7295548d37ae4389e78192fae941fbd0e94f46b",data/media_images/arms.jpg,https://www.nintendo.com/us/store/products/arms-switch/,https://www.nintendo.com/kr/software/switch/aabqa/,https://www.nintendo.com/hk/switch/arms/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Astral Chain,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000018695/76f381cf2156c793d5f7a9e5c66f4d872b593d2e9d79ed8b84eb9827f32bb655",data/media_images/astral_chain.jpg,https://www.nintendo.com/us/store/products/astral-chain-switch/,https://www.nintendo.com/kr/software/switch/ab48a/,https://www.nintendo.com/hk/switch/astral_chain/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Bayonetta,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000001109/5e8029ad4b352792683f9ea226ce145329cacfee11c72bb94fe7d5a91d7cc7ac",data/media_images/bayonetta.jpg,https://www.nintendo.com/us/store/products/bayonetta-switch/,https://store.nintendo.co.kr/70010000057086,https://ec.nintendo.com/HK/zh/titles/70010000057087,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Bayonetta 2,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000001107/fc38578b345af43fbc7bd1eb5be84594ab6c28bd8927ce8fca97e08071f2705d",data/media_images/bayonetta_2.jpg,https://www.nintendo.com/us/store/products/bayonetta-2-switch/,https://www.nintendo.com/kr/software/switch/detail/ae98a/,https://ec.nintendo.com/HK/zh/titles/70010000009379,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Bayonetta 3,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000046400/0c47748b3a6f1b3a9fce87886c3dae2680f9990e27b2b6c8b029b6133f072477",data/media_images/bayonetta_3.jpg,https://www.nintendo.com/us/store/products/bayonetta-3-switch/,https://www.nintendo.com/kr/software/switch/axb7a/,https://www.nintendo.com/hk/switch/axb7a/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000021364/e634f0b1b09278f6f10f76df203683873c1c00aa8a946cee36e068792a99dc9e",data/media_images/cadence_of_hyrule_crypt_of_the_necrodancer_featuring_the_legend_of_zelda.jpg,https://www.nintendo.com/us/store/products/cadence-of-hyrule-crypt-of-the-necrodancer-featuring-the-legend-of-zelda-switch/,https://www.nintendo.com/kr/software/switch/detail/aswbb/,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Captain Toad: Treasure Tracker,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000002722/7d17e538e855a6214e27ce1eb782068d09bffa6ccbc75fb7a4e61773040c1ab5",data/media_images/captain_toad_treasure_tracker.jpg,https://www.nintendo.com/us/store/products/captain-toad-treasure-tracker-switch/,https://www.nintendo.com/kr/software/switch/detail/ajh9a/,https://www.nintendo.com/hk/switch/captain_toad_treasure_tracker/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
Celeste,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000006442/691ba3e0801180a9864cc8a7694b6f98097f9d9799bc7e3dc6db92f086759252",data/media_images/celeste.jpg,https://www.nintendo.com/us/store/products/celeste-switch/,https://store.nintendo.co.kr/70010000064972,,Official Nintendo og:image cached locally as 1200x675 | Regional links use verified official game/detail cards where available; no search-result fallback. | Exact regional game detail pages only; no search-result fallback.
Clubhouse Games: 51 Worldwide Classics,"https://assets.nintendo.com/image/upload/c_fill,w_1200/q_auto:best/f_auto/dpr_2.0/store/software/switch/70010000029716/6d0cf8758e634a00d201ce0784e48f13c643b1b935f286d82689bf0a56a1f5e6",data/media_images/clubhouse_games_51_worldwide_classics.jpg,https://www.nintendo.com/us/store/products/clubhouse-games-51-worldwide-classics-switch/,https://www.nintendo.com/kr/switch/as7ta/,https://www.nintendo.com/hk/switch/as7ta/,Official Nintendo HK software listing image cached locally as 1200x675; HK detail page is used when no other regional page is verified.
